id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes,dataset_id,dataset_name,dataset_category,dataset_subcategory,dataset_region,dataset_delay,dataset_universe
beta_last_30_days_spy,Beta to SPY in 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,503,1222,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
beta_last_360_days_spy,Beta to SPY in 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,596,1168,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
beta_last_60_days_spy,Beta to SPY in 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,653,1421,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
beta_last_90_days_spy,Beta to SPY in 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,421,1189,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
correlation_last_30_days_spy,Correlation to SPY in 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7803,415,949,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
correlation_last_360_days_spy,Correlation to SPY in 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7605,541,1042,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
correlation_last_60_days_spy,Correlation to SPY in 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7796,861,1467,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
correlation_last_90_days_spy,Correlation to SPY in 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7782,381,766,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
systematic_risk_last_30_days,Systematic Risk Last 30 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,383,758,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
systematic_risk_last_360_days,Systematic Risk Last 360 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,602,1019,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
systematic_risk_last_60_days,Systematic Risk Last 60 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,657,1083,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
systematic_risk_last_90_days,Systematic Risk Last 90 Days,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7736,624,1085,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
unsystematic_risk_last_30_days,Unsystematic Risk Last 30 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7757,409,1065,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
unsystematic_risk_last_360_days,Unsystematic Risk Last 360 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.7561,2010,7564,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
unsystematic_risk_last_60_days,Unsystematic Risk Last 60 Days - Relative to SPY,"{'id': 'model51', 'name': 'Systematic Risk Metrics'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,MATRIX,1.0,0.775,709,1638,[],model51,Systematic Risk Metrics,,,USA,1,TOP3000
